,Users,mentioned,frequency
413,@alexbruesewitz,@realDonaldTrump,1
414,@alley167,@realDonaldTrump,1
415,@antiqueyes1,@realDonaldTrump,1
416,@applebaum_eric,@realDonaldTrump,1
417,@ari22255946,@realDonaldTrump,1
418,@arlene_randy,@realDonaldTrump,1
419,@astorga_rodrigo,@realDonaldTrump,1
420,@auntieshannont,@realDonaldTrump,1
421,@barrett_dog,@realDonaldTrump,1
422,@baybayroach,@realDonaldTrump,1
423,@bdog_mom,@realDonaldTrump,1
424,@beerhooligan,@realDonaldTrump,1
425,@believe_coach,@realDonaldTrump,1
426,@bently46,@realDonaldTrump,1
427,@bill_maton,@realDonaldTrump,1
428,@botbehavior,@realDonaldTrump,1
429,@br0k3nhalos,@realDonaldTrump,1
430,@brad_stay,@realDonaldTrump,1
431,@bruce_speca,@realDonaldTrump,1
432,@bulldoza12,@realDonaldTrump,1
433,@carogonza,@realDonaldTrump,1
434,@castlefarrimond,@realDonaldTrump,1
435,@chaele3,@realDonaldTrump,1
436,@channexx1,@realDonaldTrump,1
437,@chedancer,@realDonaldTrump,1
438,@chellelaine,@realDonaldTrump,1
439,@chenqiushi404,@realDonaldTrump,1
440,@chetta1234,@realDonaldTrump,1
441,@chuckzhangchen1,@realDonaldTrump,1
442,@cjtruth,@realDonaldTrump,1
443,@cleyens,@realDonaldTrump,1
444,@codeofvets,@realDonaldTrump,1
445,@consvtv0NTX,@realDonaldTrump,1
446,@cookiesinheaven,@realDonaldTrump,1
447,@corne06946803,@realDonaldTrump,1
448,@cossette617,@realDonaldTrump,1
449,@craftystitches,@realDonaldTrump,1
450,@currie14_kelly,@realDonaldTrump,1
451,@damian_heron,@realDonaldTrump,1
452,@danMIA,@realDonaldTrump,1
453,@danielsgoldman,@realDonaldTrump,1
454,@danigomis,@realDonaldTrump,1
455,@danvanvo,@realDonaldTrump,1
456,@darcy73196631,@realDonaldTrump,1
457,@darrell_olive,@realDonaldTrump,1
458,@davidbeckhamxz,@realDonaldTrump,1
459,@davidbo02831566,@realDonaldTrump,1
460,@davidmweissman,@realDonaldTrump,1
461,@dchaffe60666717,@realDonaldTrump,1
462,@dcoles11,@realDonaldTrump,1
463,@denise_yanac,@realDonaldTrump,1
464,@desert1723,@realDonaldTrump,1
465,@dflood51,@realDonaldTrump,1
